Self Sourcing Component Lists,,,,,
,,,,,
MSX Memory Module,,Notes,Digikey,Mouser,Other
3,4k7 Ω,,https://www.digikey.com.au/en/products/detail/yageo/MFR-25FTE52-4K7/9140246,https://au.mouser.com/ProductDetail/603-MFR-25FTE52-4K7,
1,470 Ω,,https://www.digikey.com.au/en/products/detail/yageo/MFR-25FTE52-470R/9140223,https://au.mouser.com/ProductDetail/603-MFR-25FTE52-470R,
1,1M Ω,,https://www.digikey.com.au/en/products/detail/yageo/MFR-25FTE52-1M/9139874,https://au.mouser.com/ProductDetail/603-MFR-25FTE52-1M,
1,2k2 Ω,,https://www.digikey.com.au/en/products/detail/yageo/MFR-25FTE52-2K2/9140022,https://au.mouser.com/ProductDetail/603-MFR-25FTE52-2K2,
1,20K Ω,,,https://au.mouser.com/ProductDetail/603-MFR-25FTE52-20K,
1,74HCT688,,,https://au.mouser.com/ProductDetail/Texas-Instruments/CD74HCT688EE4?qs=vul0MlC%2Fa1eZ6NH4Rs1L%252Bg%3D%3D,
1,74HCT138,,https://www.digikey.com.au/product-detail/en/texas-instruments/SN74HCT138N/296-1608-5-ND/277254,https://au.mouser.com/ProductDetail/595-SN74HCT138NE4,
1,YM2149,,,,
1,74HC00,,,https://au.mouser.com/ProductDetail/Texas-Instruments/SN74HC00N?qs=st7IWvlL5%2FiRVQxNj4BeMw%3D%3D,
1,74LS07,,https://www.digikey.com.au/en/products/detail/texas-instruments/SN74LS07N/563054,https://au.mouser.com/ProductDetail/595-SN74LS07N,
2,74HCT157,,,https://au.mouser.com/ProductDetail/595-SN74HCT157N,
1,3.579545MHz,,,https://au.mouser.com/ProductDetail/ABRACON/ABL-3579545MHZ-B2?qs=%2Fha2pyFadugmLov0EvILnRfBVMxQdEtu9DZ6bG0nF6HR%2FySr4eE1Sg%3D%3D,
1,Right Angle 20x2 Header,,https://www.digikey.com.au/en/products/detail/PH2RA-40-UA/2057-PH2RA-40-UA-ND/9831053,https://au.mouser.com/ProductDetail/Amphenol-FCI/68020-140HLF?qs=QKvFUfBIyQLna9O9OUsYjA%3D%3D,
1,Right Angle 1x20 Header,,https://www.digikey.com.au/product-detail/en/sullins-connector-solutions/PRPC020SBAN-M71RC/S1111EC-20-ND/2775314,https://au.mouser.com/ProductDetail/649-1012937992001BLF,
2,14 POS IC SOCKET,,https://www.digikey.com.au/product-detail/en/on-shore-technology-inc/ED14DT/ED3045-5-ND/4147595,https://au.mouser.com/ProductDetail/571-1-2199298-3,
3,16 POS IC SOCKET,,https://www.digikey.com.au/product-detail/en/adam-tech/ICS-316-T/2057-ICS-316-T-ND/9832862,https://au.mouser.com/ProductDetail/571-1-2199298-4,
